texto;sentimento
O reverso de a medalha foi o primeiro livro de Sydney Sheldon que tive contato, foi uma boa primeira impressão, o livro consegue te deixar ansioso boa parte de o tempo, querendo saber qual vai ser o próximo golpe que os Blackwell vão planejar, seja em os negócios ou dentro de a sua caótica família;pos
O livro conta a historia de cinco gerações de a família Blackwell, desde o aventureiro Jamie McGregor, que saiu praticamente sem nada para se tornar um garimpeiro em a África de o Sul até o jovem Robert, herdeiro de um império, e apesar de todo seu legado e fortuna existe algo de peculiar por trás de uma de as famílias mais poderosas de o mundo, pois mesmo possuindo tudo eles acabam insatisfeitos, incompletos;neu
O livro se divide em arcos mostrando os anos e em torno de quem a historia vai girar, devo dizer que meus favoritos foram os que envolveram Jamie McGregor, Kate jovem e Tony;pos
Tony foi um personagem que não dava nada, mas acabou se tornando meu favorito, ele foi o primeiro a lutar contra a maldição que é o peso de a corporação Blackwell, e talvez o que sofreu mais com isso;pos
Entretanto todos os arcos conseguem te prender a o livro e as paginas simplesmente voam;pos
Depois de O Reverso da Medalha eu definitivamente pretendo ler mais obras de o Sydney Sheldon, fica a recomendação pra quem se interessar também;pos
O livro conta a história de várias gerações de a família Blackwell, que ergueu seu império com os diamantes de a África de o Sul, chegando até a personagem principal, Kate Blackwell, que tem algumas características de mulheres de outros romances de Sidney Sheldon;neu
A história começa em Dark Harbor, em o Maine, uma colônia de super-ricos, e se desloca para os campos de diamantes de a África de o Sul, as ruas boêmias de Paris, as mansões imponentes de a Inglaterra, as salas de reuniões e as alcovas de a América, onde se realizam as transações que representam milhões e milhões de dólares;neu
Com todo o respeito a quem gostou, mas sinceramente não consegui entender o que faz esse livro ser considerado bom;neg
Achei a narrativa pobre, a história muito forçada e extremamente mal contada, os personagens murchos ;neg
O único personagem que poderia render alguma coisa, Banda, não é explorado devidamente;neg
Ainda mais com o pano de fundo de ele, que é a África de o Sul sob o regime de o apartheid;neu
Mas o que acaba acontecendo é uma espécie de breve nota de o autor, como se ele dissesse olha só, não concordo com o apartheid, mas vamos a a história. ;neu
